2022-12-20 16:18:16,361 | INFO | connection_workflow | start | Pika version 1.3.1 connecting to ('::1', 5672, 0, 0)
2022-12-20 16:18:16,362 | INFO | io_services_utils | _on_writable | Socket connected: <socket.socket fd=1352, family=AddressFamily.AF_INET6, type=SocketKind.SOCK_STREAM, proto=6, laddr=('::1', 34340, 0, 0), raddr=('::1', 5672, 0, 0)>
2022-12-20 16:18:16,363 | INFO | connection_workflow | _on_transport_establishment_done | Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001B4D2F7DC60>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001B4D2F7DC60> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>).
2022-12-20 16:18:16,371 | INFO | connection_workflow | _report_completion_and_cleanup | AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001B4D2F7DC60> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2022-12-20 16:18:16,372 | INFO | connection_workflow | _report_completion_and_cleanup | AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001B4D2F7DC60> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2022-12-20 16:18:16,372 | INFO | blocking_connection | _create_connection | Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001B4D2F7DC60> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2022-12-20 16:18:16,373 | INFO | blocking_connection | __init__ | Created channel=1
2022-12-20 16:18:16,378 | INFO | VideoConverterAsync | process_frames | Rabbit connection created
2022-12-20 16:18:19,113 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:19,228 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:19,479 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:19,527 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:19,634 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:19,776 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:19,883 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:19,951 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:20,087 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:20,186 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:20,341 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:20,608 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:20,725 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:20,887 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:20,942 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:21,137 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:21,241 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:21,296 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:21,385 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:21,708 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:21,868 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:21,925 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:22,069 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:22,158 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:22,259 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:22,362 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:22,478 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:22,830 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:22,929 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,085 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,161 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,327 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,458 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,648 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,726 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,798 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:23,969 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,060 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,149 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,267 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,368 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,477 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,607 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,660 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:24,819 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,073 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,141 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,248 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,338 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,518 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,644 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,767 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:25,888 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,152 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,219 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,355 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,500 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,551 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,662 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,812 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,929 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:26,988 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:27,221 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:27,390 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:27,439 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:27,628 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:27,790 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:27,949 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:28,157 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:28,394 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:28,526 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:28,677 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:28,750 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:28,909 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:28,989 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:29,060 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:29,171 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:29,469 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:29,536 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:29,600 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:29,739 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:29,869 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:30,044 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:30,271 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:30,386 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:30,696 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:30,817 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,002 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,080 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,153 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,287 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,378 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,719 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,820 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:31,928 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:32,042 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:32,190 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:32,269 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:32,487 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:32,850 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:32,912 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:33,058 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:33,207 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
